Vns_min1,Vns_min5,Vns_min10,Vns_min15,Vns_min20,Vns_min25,Vns_min30,Vns_min35,Vns_min40,Vns_min45,Vns_min50,Vns_min55,Vns_min60
1.0479264862464281,1.0478651554124192,1.0477881504674202,1.0477112422110615,1.047634171533014,1.0475572289617299,1.0474800677593354,1.0474026802290943,1.0473258445015166,1.04724885757384,1.0471720580025914,1.047113498054615,1.0471091778951478
1.049715722687132,1.0495810722304613,1.049412007619517,1.0492418154872785,1.0490717637888718,1.0489020378968852,1.0487307391233718,1.048560221947237,1.0483904854794015,1.0482192349930401,1.0480491964518237,1.0479210766086793,1.047910315792479
1.0550554055494112,1.0549794561834651,1.0548826021963256,1.0547851163512567,1.0546885192701279,1.05459149827414,1.0544949624739999,1.0543983037902143,1.0543017336481133,1.0542045305286094,1.0541077378146837,1.0540350813613382,1.0540292343883526
1.0479518786045436,1.0478911744697665,1.0478149961466035,1.0477389264564043,1.0476626556553257,1.0475865018988775,1.0475101235676483,1.0474335746154293,1.0473575359654128,1.0472813359144717,1.0472053568759534,1.0471476138867306,1.0471433949421158
1.049719026933167,1.0495880270290716,1.0494235747587999,1.049257973221237,1.0490926468950779,1.048927571090352,1.0487609563439453,1.0485951260071151,1.048430071895129,1.0482635033878303,1.0480981044233004,1.0479731726346488,1.0479626208749322
1.0459434367763485,1.045910436541595,1.0458688058002585,1.0458271104954246,1.0457856519421498,1.0457441432979226,1.0457025051305053,1.0456608575149238,1.045619323420936,1.0455775846467568,1.0455359739804204,1.0455046311325686,1.0455025818003674
1.0442266832943068,1.0442061286483768,1.0441801449307373,1.0441542022684087,1.0441282082542884,1.0441021266323534,1.044076159718049,1.0440503004066992,1.0440244409359434,1.0439985360632256,1.0439726795729194,1.0439536686365123,1.0439522892560393
1.0479997568119621,1.0479359611434154,1.0478559852239562,1.047776084621052,1.0476959443861882,1.047615960683547,1.0475357367616542,1.0474553020712767,1.0473754404697277,1.0472953526062085,1.047215557750954,1.047154994055072,1.0471506304156586
1.0456991017557589,1.0456570975897392,1.0456047963628012,1.0455525580865115,1.0455003808447327,1.0454479128844525,1.0453952081822815,1.0453429316150875,1.045290642285904,1.0452378666829556,1.045185622866968,1.0451494804143167,1.045147509747722
1.0479117091509493,1.0478327761948203,1.0477337106905538,1.0476348247521634,1.0475357573993216,1.0474368615428433,1.0473378025549,1.0472382198015953,1.047139482378018,1.0470405278229566,1.0469417907819822,1.0468659943663134,1.0468606134078473
1.0497140387074375,1.0495777276765237,1.0494065573372946,1.0492342735453202,1.049062013106321,1.0488901579256364,1.0487167097922898,1.048544010080154,1.0483721104377264,1.0481987167609248,1.0480265256477612,1.04789707962367,1.0478862566460512
1.0479121710623185,1.0478336267554365,1.0477350154713505,1.0476365658513305,1.0475379466962977,1.047439479956944,1.047340830706331,1.047241680788303,1.0471434120627043,1.0470449131568338,1.0469466106702734,1.0468712660100872,1.0468658461206246
1.0500562174938215,1.0499470891915428,1.049809959621213,1.0496721779373812,1.049534744362011,1.0493973717366274,1.0492587507006381,1.049120756982285,1.0489834145695327,1.048844799023586,1.0487071673451747,1.0486015818792425,1.048591825966868
1.0656826277993814,1.0656005808312057,1.0654961310502864,1.0653923509693528,1.065288034884867,1.0651841760949816,1.065079742190748,1.0649755393027165,1.0648711517655927,1.064767078680982,1.0646629686924924,1.0645821064933116,1.0645759998051467
1.047926066081338,1.0478638376489458,1.047785710260223,1.0477076836834405,1.0476295152473625,1.0475514793673013,1.0474731983146837,1.0473946896906927,1.0473167447521414,1.0472386733348054,1.0471607730828805,1.0471013200973773,1.0470969230153255
1.0479180394474636,1.04784643639677,1.04775651620593,1.047666740657352,1.0475767779391267,1.047486977563857,1.0473969775561385,1.047306587967183,1.047216944610088,1.0471271057271936,1.0470374615910585,1.0469688308711886,1.0469637877350477
1.0438790750635818,1.0438611519177052,1.043838478168313,1.0438159190420926,1.0437933219237066,1.043770684797302,1.0437479990922134,1.0437255904648355,1.0437030070448037,1.0436805841858483,1.043657953925842,1.0436414170981752,1.0436401436281624
1.0507667738539168,1.0506935105379815,1.0506000218099791,1.0505062770514941,1.050413196492396,1.0503197477244073,1.050226740736956,1.0501336638632472,1.0500406673712483,1.0499470773156958,1.0498538567028137,1.0497830240921358,1.0497775653950574
1.0479123670020785,1.0478341165504825,1.0477358792169713,1.047637799258628,1.0475395474093283,1.047441443456597,1.047343182441728,1.0472444112905266,1.0471465035752272,1.0470483742303875,1.0469504499774192,1.04687538965664,1.0468700004342468
1.0574480421430295,1.0573705557205562,1.057271884923016,1.0571740268140954,1.0570754480473177,1.05697720857922,1.0568783171660352,1.0567797433834232,1.0566810324778655,1.0565826672055016,1.0564844640117173,1.0564071252428509,1.0564012276996524
1.0462781439307716,1.0462183441773567,1.0461425951794174,1.0460663911959946,1.0459906584264482,1.0459149967398973,1.0458396612604914,1.04576349737689,1.045687742039222,1.0456117101999558,1.0455362848283922,1.0454786420463766,1.0454742285654577
1.0573217658441338,1.0572451172260313,1.0571475844280054,1.0570508430539234,1.0569533923398302,1.0568562732146685,1.0567584839604687,1.056661009578386,1.0565634347592208,1.0564662105557594,1.0563691170179612,1.0562927308433918,1.0562868865549815
1.046952956577654,1.0469000837831193,1.046833566616863,1.046766849166942,1.046700320911235,1.0466337381406725,1.046566748585878,1.0464999718517283,1.046433443873193,1.0463663567483914,1.0462996684707986,1.0462493472796663,1.0462450224117767
1.0457066028351085,1.0456699940431076,1.0456241330670868,1.0455781468688772,1.04553193488457,1.0454860417285858,1.0454401679729495,1.0453943248892374,1.045348506085968,1.045302250101541,1.045256277246412,1.0452224812143243,1.0452201210770704
1.0500587867588405,1.0499533565061903,1.0498208671389901,1.049687717883549,1.0495549146623944,1.0494221398463308,1.0492881793157,1.0491548193285747,1.0490220911295303,1.0488881288772982,1.048755135715049,1.0486534833962213,1.048644368268048
1.0482076359656076,1.0481363590212063,1.0480472491323511,1.047958079613313,1.0478686465681595,1.047779410972512,1.047689885135629,1.0476000716603469,1.0475109876760884,1.0474215289034032,1.0473324896264822,1.047265728971878,1.0472610216278233
1.0448028472203383,1.0446896239495858,1.0445473889455197,1.0444045071784076,1.0442619880552226,1.0441195342527876,1.0439757815651094,1.0438326702041865,1.0436902434225666,1.043546477735079,1.0434037326258785,1.0432936270499624,1.0432831940299523
1.0480824853340074,1.0480126176837619,1.047925202054419,1.04783774803019,1.0477500442629375,1.047662489582851,1.0475746993782638,1.0474866423399525,1.0473992660922573,1.0473115632614378,1.0472242179961841,1.047158585377744,1.0471539721054677
1.0464370165404524,1.0463719357816799,1.0462894055894705,1.0462066401974521,1.0461243751458753,1.0460420851108156,1.0459600889825937,1.0458773715261325,1.0457949743628998,1.045712365299873,1.045630152301851,1.045567853413198,1.0455631638427905
1.0438814502302265,1.0438654613787084,1.0438450008980775,1.0438246840485783,1.04380435386414,1.0437839263237778,1.0437634571510077,1.0437432769526687,1.043722834887888,1.0437025037182535,1.0436820889464087,1.043667032350354,1.0436657650854628
1.0457079869073531,1.0456740886813016,1.0456316753822896,1.0455892949068668,1.045546944150964,1.0455045284256488,1.0454619568760788,1.0454195136086197,1.0453771523620687,1.045334443069249,1.0452920281567364,1.0452615507082743,1.0452595515944951
1.0480823607711582,1.0480123715210696,1.0479248138402744,1.0478372106085185,1.0477493624277523,1.047661657903791,1.0475737212205614,1.047485520456882,1.0473979994442877,1.0473101508404423,1.0472226526353134,1.0471568922265286,1.047152271146733
1.043884121666093,1.0438715702541503,1.043855624602938,1.0438397616538844,1.0438238833617164,1.0438079452443214,1.0437920011534956,1.043776206348098,1.043760289399762,1.0437444417951094,1.0437285428253456,1.043716845016013,1.0437159166599608
1.0582269018067563,1.0581470511596929,1.0580452557443567,1.0579426741245703,1.0578410892816197,1.0577389741396275,1.057637350276644,1.0575356404079725,1.0574341026991168,1.0573318214155019,1.0572300067068778,1.0571533235206347,1.0571469682465908
1.0582261987393125,1.0581455647633922,1.0580427904943428,1.057939167184996,1.057836571987412,1.057733428354024,1.0576307877294768,1.0575280849261954,1.0574255432039903,1.0573222505569457,1.0572194225903078,1.057141861526148,1.0571354087093
1.02533280787295,1.0252529715631788,1.0251521585463088,1.025050476177847,1.0249492293512839,1.024848235055962,1.0247477240737537,1.0246459525880949,1.024544673239784,1.0244428852217826,1.02434233392208,1.0242657229286651,1.0242598286540747
1.045703824879547,1.0456633563492186,1.0456127614362887,1.0455619346583547,1.0455107478625136,1.0454600447958717,1.0454094269473047,1.045358904133356,1.0453082488398298,1.0452570866941282,1.0452062938007105,1.045168679440486,1.045166040662241
1.0507668176343292,1.0506938185928325,1.0506007293787267,1.05050739680003,1.0504146215713288,1.0503215403041146,1.0502288627244103,1.0501361029699545,1.0500434816481297,1.0499502473750086,1.049857380672161,1.0497869302646274,1.0497814739087357
1.0478785373331616,1.047803822876549,1.0477098814927537,1.0476156537608383,1.04752179117399,1.0474277342352767,1.047333050786211,1.0472388421873073,1.0471449187943684,1.0470501902441307,1.0469560385321794,1.0468849862199734,1.0468789412057056
1.04643726787246,1.0463724787536108,1.0462903298752888,1.046207947060891,1.0461260498773661,1.046044133576671,1.0459625129525363,1.04588016461637,1.0457981364812476,1.0457158951985122,1.0456340651568552,1.045572062078917,1.0455674019389913
1.04972598380909,1.0496018430247998,1.0494459100705211,1.049288932824209,1.0491323329104134,1.0489759089627912,1.0488180183916238,1.048660790702443,1.0485044179758831,1.0483464755708072,1.0481897205147261,1.0480710976184016,1.0480608428328886
1.0438790653199619,1.0438599932218098,1.0438354567250396,1.0438111362642495,1.0437868083796393,1.0437623305234949,1.0437377671084307,1.043713649740441,1.043689135359155,1.0436647696736894,1.0436402811335954,1.0436221171432098,1.0436205414151758
1.0464365783629033,1.0463710843751846,1.046288078945696,1.04620481109545,1.0461220240709777,1.046039242268957,1.0459567337883855,1.045873476425273,1.045790545072684,1.0457074144417164,1.0456247188169698,1.045562062693637,1.0455573696563807
1.0722414880468547,1.0721556716128662,1.0720464393692102,1.0719379337864148,1.0718288359723092,1.0717202279705353,1.0716111130556736,1.0715022173879887,1.0713930003234213,1.0712843128505165,1.0711754521743848,1.0710910482722715,1.0710847617651253
1.0582264996960236,1.0581461626280741,1.0580437358501225,1.0579404873381588,1.0578382553328465,1.0577354795863079,1.05763319959037,1.0575308516334405,1.057428671705369,1.0573257394309241,1.0572232728507327,1.05714600457695,1.0571395543927142
